subject-id,segmentation-filename,image-filename
colon_055,dataset3_colon_055_mask_4label.nii.gz,./imagesTs/colon_055.nii.gz
colon_056,dataset3_colon_056_mask_4label.nii.gz,./imagesTs/colon_056.nii.gz
colon_061,dataset3_colon_061_mask_4label.nii.gz,./imagesTr/colon_061.nii.gz
colon_063,dataset3_colon_063_mask_4label.nii.gz,./imagesTs/colon_063.nii.gz
colon_065,dataset3_colon_065_mask_4label.nii.gz,./imagesTr/colon_065.nii.gz
colon_066,dataset3_colon_066_mask_4label.nii.gz,./imagesTr/colon_066.nii.gz
colon_070,dataset3_colon_070_mask_4label.nii.gz,./imagesTs/colon_070.nii.gz
colon_071,dataset3_colon_071_mask_4label.nii.gz,./imagesTs/colon_071.nii.gz
colon_072,dataset3_colon_072_mask_4label.nii.gz,./imagesTr/colon_072.nii.gz
colon_074,dataset3_colon_074_mask_4label.nii.gz,./imagesTr/colon_074.nii.gz
colon_076,dataset3_colon_076_mask_4label.nii.gz,./imagesTs/colon_076.nii.gz
colon_077,dataset3_colon_077_mask_4label.nii.gz,./imagesTr/colon_077.nii.gz
colon_078,dataset3_colon_078_mask_4label.nii.gz,./imagesTr/colon_078.nii.gz
colon_079,dataset3_colon_079_mask_4label.nii.gz,./imagesTs/colon_079.nii.gz
colon_081,dataset3_colon_081_mask_4label.nii.gz,./imagesTr/colon_081.nii.gz
colon_083,dataset3_colon_083_mask_4label.nii.gz,./imagesTs/colon_083.nii.gz
colon_084,dataset3_colon_084_mask_4label.nii.gz,./imagesTs/colon_084.nii.gz
colon_086,dataset3_colon_086_mask_4label.nii.gz,./imagesTr/colon_086.nii.gz
colon_087,dataset3_colon_087_mask_4label.nii.gz,./imagesTs/colon_087.nii.gz
colon_088,dataset3_colon_088_mask_4label.nii.gz,./imagesTr/colon_088.nii.gz
colon_089,dataset3_colon_089_mask_4label.nii.gz,./imagesTr/colon_089.nii.gz
colon_092,dataset3_colon_092_mask_4label.nii.gz,./imagesTr/colon_092.nii.gz
colon_095,dataset3_colon_095_mask_4label.nii.gz,./imagesTr/colon_095.nii.gz
colon_096,dataset3_colon_096_mask_4label.nii.gz,./imagesTr/colon_096.nii.gz
colon_098,dataset3_colon_098_mask_4label.nii.gz,./imagesTr/colon_098.nii.gz
colon_099,dataset3_colon_099_mask_4label.nii.gz,./imagesTr/colon_099.nii.gz
colon_100,dataset3_colon_100_mask_4label.nii.gz,./imagesTr/colon_100.nii.gz
colon_101,dataset3_colon_101_mask_4label.nii.gz,./imagesTs/colon_101.nii.gz
colon_102,dataset3_colon_102_mask_4label.nii.gz,./imagesTr/colon_102.nii.gz
colon_103,dataset3_colon_103_mask_4label.nii.gz,./imagesTr/colon_103.nii.gz
colon_104,dataset3_colon_104_mask_4label.nii.gz,./imagesTr/colon_104.nii.gz
colon_105,dataset3_colon_105_mask_4label.nii.gz,./imagesTs/colon_105.nii.gz
colon_106,dataset3_colon_106_mask_4label.nii.gz,./imagesTr/colon_106.nii.gz
colon_109,dataset3_colon_109_mask_4label.nii.gz,./imagesTs/colon_109.nii.gz
colon_110,dataset3_colon_110_mask_4label.nii.gz,./imagesTs/colon_110.nii.gz
colon_112,dataset3_colon_112_mask_4label.nii.gz,./imagesTr/colon_112.nii.gz
colon_115,dataset3_colon_115_mask_4label.nii.gz,./imagesTr/colon_115.nii.gz
colon_116,dataset3_colon_116_mask_4label.nii.gz,./imagesTs/colon_116.nii.gz
colon_117,dataset3_colon_117_mask_4label.nii.gz,./imagesTr/colon_117.nii.gz
colon_118,dataset3_colon_118_mask_4label.nii.gz,./imagesTr/colon_118.nii.gz
colon_119,dataset3_colon_119_mask_4label.nii.gz,./imagesTr/colon_119.nii.gz
colon_120,dataset3_colon_120_mask_4label.nii.gz,./imagesTr/colon_120.nii.gz
colon_122,dataset3_colon_122_mask_4label.nii.gz,./imagesTr/colon_122.nii.gz
colon_123,dataset3_colon_123_mask_4label.nii.gz,./imagesTs/colon_123.nii.gz
colon_124,dataset3_colon_124_mask_4label.nii.gz,./imagesTr/colon_124.nii.gz
colon_126,dataset3_colon_126_mask_4label.nii.gz,./imagesTr/colon_126.nii.gz
colon_127,dataset3_colon_127_mask_4label.nii.gz,./imagesTr/colon_127.nii.gz
colon_128,dataset3_colon_128_mask_4label.nii.gz,./imagesTs/colon_128.nii.gz
colon_129,dataset3_colon_129_mask_4label.nii.gz,./imagesTr/colon_129.nii.gz
colon_131,dataset3_colon_131_mask_4label.nii.gz,./imagesTr/colon_131.nii.gz
colon_132,dataset3_colon_132_mask_4label.nii.gz,./imagesTs/colon_132.nii.gz
colon_133,dataset3_colon_133_mask_4label.nii.gz,./imagesTr/colon_133.nii.gz
colon_134,dataset3_colon_134_mask_4label.nii.gz,./imagesTr/colon_134.nii.gz
colon_136,dataset3_colon_136_mask_4label.nii.gz,./imagesTr/colon_136.nii.gz
colon_137,dataset3_colon_137_mask_4label.nii.gz,./imagesTr/colon_137.nii.gz
colon_138,dataset3_colon_138_mask_4label.nii.gz,./imagesTr/colon_138.nii.gz
colon_139,dataset3_colon_139_mask_4label.nii.gz,./imagesTr/colon_139.nii.gz
colon_140,dataset3_colon_140_mask_4label.nii.gz,./imagesTr/colon_140.nii.gz
colon_141,dataset3_colon_141_mask_4label.nii.gz,./imagesTr/colon_141.nii.gz
colon_142,dataset3_colon_142_mask_4label.nii.gz,./imagesTr/colon_142.nii.gz
colon_143,dataset3_colon_143_mask_4label.nii.gz,./imagesTr/colon_143.nii.gz
colon_144,dataset3_colon_144_mask_4label.nii.gz,./imagesTr/colon_144.nii.gz
colon_146,dataset3_colon_146_mask_4label.nii.gz,./imagesTs/colon_146.nii.gz
colon_147,dataset3_colon_147_mask_4label.nii.gz,./imagesTs/colon_147.nii.gz
colon_148,dataset3_colon_148_mask_4label.nii.gz,./imagesTr/colon_148.nii.gz
colon_149,dataset3_colon_149_mask_4label.nii.gz,./imagesTr/colon_149.nii.gz
colon_150,dataset3_colon_150_mask_4label.nii.gz,./imagesTs/colon_150.nii.gz
colon_151,dataset3_colon_151_mask_4label.nii.gz,./imagesTs/colon_151.nii.gz
colon_153,dataset3_colon_153_mask_4label.nii.gz,./imagesTs/colon_153.nii.gz
colon_154,dataset3_colon_154_mask_4label.nii.gz,./imagesTr/colon_154.nii.gz
colon_155,dataset3_colon_155_mask_4label.nii.gz,./imagesTr/colon_155.nii.gz
colon_156,dataset3_colon_156_mask_4label.nii.gz,./imagesTs/colon_156.nii.gz
colon_158,dataset3_colon_158_mask_4label.nii.gz,./imagesTs/colon_158.nii.gz
colon_159,dataset3_colon_159_mask_4label.nii.gz,./imagesTr/colon_159.nii.gz
colon_161,dataset3_colon_161_mask_4label.nii.gz,./imagesTr/colon_161.nii.gz
colon_162,dataset3_colon_162_mask_4label.nii.gz,./imagesTr/colon_162.nii.gz
colon_163,dataset3_colon_163_mask_4label.nii.gz,./imagesTr/colon_163.nii.gz
colon_164,dataset3_colon_164_mask_4label.nii.gz,./imagesTr/colon_164.nii.gz
colon_165,dataset3_colon_165_mask_4label.nii.gz,./imagesTr/colon_165.nii.gz
colon_166,dataset3_colon_166_mask_4label.nii.gz,./imagesTr/colon_166.nii.gz
colon_168,dataset3_colon_168_mask_4label.nii.gz,./imagesTr/colon_168.nii.gz
colon_169,dataset3_colon_169_mask_4label.nii.gz,./imagesTr/colon_169.nii.gz
colon_171,dataset3_colon_171_mask_4label.nii.gz,./imagesTr/colon_171.nii.gz
colon_172,dataset3_colon_172_mask_4label.nii.gz,./imagesTr/colon_172.nii.gz
colon_174,dataset3_colon_174_mask_4label.nii.gz,./imagesTs/colon_174.nii.gz
colon_175,dataset3_colon_175_mask_4label.nii.gz,./imagesTr/colon_175.nii.gz
colon_176,dataset3_colon_176_mask_4label.nii.gz,./imagesTr/colon_176.nii.gz
colon_177,dataset3_colon_177_mask_4label.nii.gz,./imagesTs/colon_177.nii.gz
colon_178,dataset3_colon_178_mask_4label.nii.gz,./imagesTs/colon_178.nii.gz
colon_179,dataset3_colon_179_mask_4label.nii.gz,./imagesTs/colon_179.nii.gz
colon_180,dataset3_colon_180_mask_4label.nii.gz,./imagesTs/colon_180.nii.gz
colon_181,dataset3_colon_181_mask_4label.nii.gz,./imagesTr/colon_181.nii.gz
colon_182,dataset3_colon_182_mask_4label.nii.gz,./imagesTs/colon_182.nii.gz
colon_183,dataset3_colon_183_mask_4label.nii.gz,./imagesTs/colon_183.nii.gz
colon_184,dataset3_colon_184_mask_4label.nii.gz,./imagesTs/colon_184.nii.gz
colon_185,dataset3_colon_185_mask_4label.nii.gz,./imagesTr/colon_185.nii.gz
colon_186,dataset3_colon_186_mask_4label.nii.gz,./imagesTs/colon_186.nii.gz
colon_188,dataset3_colon_188_mask_4label.nii.gz,./imagesTs/colon_188.nii.gz
colon_189,dataset3_colon_189_mask_4label.nii.gz,./imagesTs/colon_189.nii.gz
colon_190,dataset3_colon_190_mask_4label.nii.gz,./imagesTs/colon_190.nii.gz
colon_191,dataset3_colon_191_mask_4label.nii.gz,./imagesTs/colon_191.nii.gz
colon_192,dataset3_colon_192_mask_4label.nii.gz,./imagesTr/colon_192.nii.gz
colon_193,dataset3_colon_193_mask_4label.nii.gz,./imagesTr/colon_193.nii.gz
colon_194,dataset3_colon_194_mask_4label.nii.gz,./imagesTr/colon_194.nii.gz
colon_195,dataset3_colon_195_mask_4label.nii.gz,./imagesTs/colon_195.nii.gz
colon_196,dataset3_colon_196_mask_4label.nii.gz,./imagesTr/colon_196.nii.gz
colon_198,dataset3_colon_198_mask_4label.nii.gz,./imagesTs/colon_198.nii.gz
colon_201,dataset3_colon_201_mask_4label.nii.gz,./imagesTr/colon_201.nii.gz
colon_202,dataset3_colon_202_mask_4label.nii.gz,./imagesTr/colon_202.nii.gz
colon_203,dataset3_colon_203_mask_4label.nii.gz,./imagesTr/colon_203.nii.gz
colon_204,dataset3_colon_204_mask_4label.nii.gz,./imagesTs/colon_204.nii.gz
colon_205,dataset3_colon_205_mask_4label.nii.gz,./imagesTr/colon_205.nii.gz
colon_206,dataset3_colon_206_mask_4label.nii.gz,./imagesTr/colon_206.nii.gz
colon_207,dataset3_colon_207_mask_4label.nii.gz,./imagesTr/colon_207.nii.gz
colon_208,dataset3_colon_208_mask_4label.nii.gz,./imagesTr/colon_208.nii.gz
colon_209,dataset3_colon_209_mask_4label.nii.gz,./imagesTs/colon_209.nii.gz
colon_215,dataset3_colon_215_mask_4label.nii.gz,./imagesTr/colon_215.nii.gz
colon_216,dataset3_colon_216_mask_4label.nii.gz,./imagesTr/colon_216.nii.gz
colon_217,dataset3_colon_217_mask_4label.nii.gz,./imagesTr/colon_217.nii.gz
colon_218,dataset3_colon_218_mask_4label.nii.gz,./imagesTr/colon_218.nii.gz
colon_219,dataset3_colon_219_mask_4label.nii.gz,./imagesTr/colon_219.nii.gz
